교과목,학점,년도,교과목명
GS2808,2,2017,음식과 약
GS2810,2,2017,우주와 인간의 역사
GS2815,3,2017,문화공학 I
GS2816,3,2017,문화공학 II
GS2817,3,2017,문화와 도시재생 연구
GS2818,3,2017,융합사고론
GS2819,3,2017,이미지론: 보는 법
GS2911,2,2017,중국어 1
GS2912,2,2017,중국어 2
GS2913,2,2017,한자와 한문의 기초
GS2913,2,2017,중국의 문화와 언어(한시와 한문 입문)
GS2931,2,2017,독일어 1
GS2932,2,2017,독일어 2
GS3601,3,2017,강대국의 흥망
GS3602,3,2017,역사학특강
GS3901,2,2017,일본문화론
GS9201,1,2017,기초교육학부 개별연구
GS9201,1,2017,기초교육학부 개별연구Ⅰ
GS9202,1,2017,기초교육학부 개별연구 Ⅱ
GS9203,1,2017,기초교육학부 개별연구 Ⅲ
GS9204,1,2017,기초교육학부 개별연구 Ⅳ
GS2541,3,2018,서양음악의 이해
GS2542,3,2018,오페라와 판소리
GS2543,3,2018,현대 예술의 이해
GS2543,3,2018,현대 예술의 이해: 모더니즘에서 포스트모더니즘까지
GS2791,3,2018,유라시아 깊이 읽기
GS2792,3,2018,커뮤니케이션론 I
GS2793,3,2018,커뮤니케이션론 II
GS2804,2,2018,에너지와 인간
GS2808,2,2018,음식과 약
GS2810,2,2018,우주와 인간의 역사
GS2815,3,2018,문화공학 I
GS2816,3,2018,문화공학 II
GS2817,3,2018,문화와 도시재생 연구
GS2818,3,2018,융합사고론
GS2819,3,2018,이미지론: 보는 법
GS2821,2,2018,대중강연:융합시대의 리더 육성 프로젝트
GS2911,2,2018,중국어 1
GS2912,2,2018,중국어 2
GS2913,2,2018,한자와 한문의 기초
GS2913,2,2018,중국의 문화와 언어(한시와 한문 입문)
GS2931,2,2018,독일어 1
GS2932,2,2018,독일어 2
GS2541,3,2019,서양음악의 이해
GS2542,3,2019,오페라와 판소리
GS2543,3,2019,현대 예술의 이해
GS2543,3,2019,현대 예술의 이해: 모더니즘에서 포스트모더니즘까지
GS2791,3,2019,유라시아 깊이 읽기
GS2792,3,2019,커뮤니케이션론 I
GS2793,3,2019,커뮤니케이션론 II
GS2804,2,2019,에너지와 인간
GS2808,2,2019,음식과 약
GS2810,2,2019,우주와 인간의 역사
GS2815,3,2019,문화공학 I
GS2816,3,2019,문화공학 II
GS2817,3,2019,문화와 도시재생 연구
GS2818,3,2019,융합사고론
GS2819,3,2019,이미지론: 보는 법
GS2821,2,2019,대중강연:융합시대의 리더 육성 프로젝트
GS2911,2,2019,중국어 1
GS2912,2,2019,중국어 2
GS2913,2,2019,한자와 한문의 기초
GS2913,2,2019,중국의 문화와 언어(한시와 한문 입문)
GS2931,2,2019,독일어 1
GS2932,2,2019,독일어 2
GS2933,2,2019,일본어 문법
GS3506,3,2019,서양연극사
GS2541,3,2020,서양음악의 이해
GS2542,3,2020,오페라와 판소리
GS2543,3,2020,현대 예술의 이해
GS2543,3,2020,현대 예술의 이해: 모더니즘에서 포스트모더니즘까지
GS2791,3,2020,유라시아 깊이 읽기
GS2792,3,2020,커뮤니케이션론 I
GS2804,2,2020,에너지와 인간
GS2810,2,2020,우주와 인간의 역사
GS2810,2,2020,빅히스토리: 우주와 인간의 역사
GS2815,3,2020,문화공학 I
GS2816,3,2020,문화공학 II
GS2817,3,2020,문화와 도시재생 연구
GS2818,3,2020,융합사고론
GS2819,3,2020,이미지론: 보는 법
GS2821,2,2020,대중강연:융합시대의 리더 육성 프로젝트
GS2822,2,2020,AI와 나
GS2913,2,2020,중국의 문화와 언어(한시와 한문 입문)
GS2931,2,2020,독일어 1
GS2932,2,2020,독일어 2
GS2933,2,2020,일본어 문법
GS3506,3,2020,서양연극사
GS2541,3,2021,서양음악의 이해
GS2542,3,2021,오페라와 판소리
GS2543,3,2021,현대 예술의 이해
GS2543,3,2021,현대 예술의 이해: 모더니즘에서 포스트모더니즘까지
GS2791,3,2021,유라시아 깊이 읽기
GS2792,3,2021,커뮤니케이션론 I
GS2804,2,2021,에너지와 인간
GS2810,2,2021,빅히스토리: 우주와 인간의 역사
GS2815,3,2021,문화공학 I
GS2816,3,2021,문화공학 II
GS2817,3,2021,문화와 도시재생 연구
GS2818,3,2021,융합사고론
GS2819,3,2021,이미지론: 보는 법
GS2821,2,2021,대중강연:융합시대의 리더 육성 프로젝트
GS2822,2,2021,AI와 나
GS2823,3,2021,수학의 위대한 순간들 - AI
GS2913,2,2021,중국의 문화와 언어(한시와 한문 입문)
GS2931,2,2021,독일어 1
GS2932,2,2021,독일어 2
GS2933,2,2021,일본어 문법
GS3066,3,2021,서양연극사
