NO,년도,학기,개설부서,교과목-분반,교과목명,"이수
구분","세부
분류","교과
연구",담당교수,"과정
구분",강/실/학,강의언어,시간표,강의실,"수강
정원","수강
인원",선수과목,"강의공유
대표교과목","강의
공유
대표","재수강
예외여부","폐강
여부","SYLL
ABUS","설명
영상","출석부
유무",Upload,"강의
방법",선택MOOC
51,2010,여름학기,기초교육학부,GS0701-01,학점 교류 인정과목 II,선택,,교과,,학사,0/0/0,,,,0,0,,,,N,N,view,,미등록,"Attendance
List",,
52,2010,2학기,기초교육학부,GS0102-01,"체육: 축구, 테니스, 농구, 댄스스포츠, 체력단련, 골프",필수,,교과,송영선[61022],학사,2/0/0,,월 11:30~12:00,,15,12,Uniform,,,N,N,view,,미등록,"Attendance
List",,
53,2010,2학기,기초교육학부,GS0102-02,"체육: 축구, 테니스, 농구, 댄스스포츠, 체력단련, 골프",필수,,교과,나찬일[61015],학사,2/0/0,,월 11:30~12:00,,15,10,Uniform,,,N,N,view,,미등록,"Attendance
List",,
54,2010,2학기,기초교육학부,GS0102-03,"체육: 축구, 테니스, 농구, 댄스스포츠, 체력단련, 골프",필수,,교과,나찬일[61015],학사,2/0/0,,월 13:00~13:30,,18,17,Uniform,,,N,N,view,,미등록,"Attendance
List",,
55,2010,2학기,기초교육학부,GS0102-04,"체육: 축구, 테니스, 농구, 댄스스포츠, 체력단련, 골프",필수,,교과,배영종[61023],학사,2/0/0,,목 11:30~12:00,,15,8,Uniform,,,N,N,view,,미등록,"Attendance
List",,
56,2010,2학기,기초교육학부,GS0102-05,"체육: 축구, 테니스, 농구, 댄스스포츠, 체력단련, 골프",필수,,교과,배영종[61023],학사,2/0/0,,화 11:30~12:00,,15,9,Uniform,,,N,N,view,,미등록,"Attendance
List",,
57,2010,2학기,기초교육학부,GS0102-06,"체육: 축구, 테니스, 농구, 댄스스포츠, 체력단련, 골프",필수,,교과,임현용[61097],학사,2/0/0,,수 11:30~12:00,,15,10,Uniform,,,N,N,view,,미등록,"Attendance
List",,
58,2010,2학기,기초교육학부,GS0102-07,"체육: 축구, 테니스, 농구, 댄스스포츠, 체력단련, 골프",필수,,교과,이기정[61095],학사,2/0/0,,월 11:30~12:00,,15,8,Uniform,,,N,N,view,,미등록,"Attendance
List",,
59,2010,2학기,기초교육학부,GS0102-08,"체육: 축구, 테니스, 농구, 댄스스포츠, 체력단련, 골프",필수,,교과,도혜길[61098],학사,2/0/0,,수 11:30~12:00,,15,9,Uniform,,,N,N,view,,미등록,"Attendance
List",,
60,2010,2학기,기초교육학부,GS0102-09,"체육: 축구, 테니스, 농구, 댄스스포츠, 체력단련, 골프",필수,,교과,최기석[61099],학사,2/0/0,,수 11:30~12:00,,15,13,Uniform,,,N,N,view,,미등록,"Attendance
List",,
